ID,ParallelSessions_WhichDaysAtTheConferenceWillYouBeAttending,ParallelSessions_FirstChoice,ParallelSessions_SecondChoice,ParallelSessions_ThirdChoice,ParallelSessions_FourthChoice,ParallelSessions_FifthChoice,ParallelSessions_FirstChoice2,ParallelSessions_SecondChoice2,ParallelSessions_ThirdChoice2,ParallelSessions_FourthChoice2,ParallelSessions_FifthChoice2,ParallelSessions_FirstChoice3,ParallelSessions_SecondChoice3,ParallelSessions_ThirdChoice3,ParallelSessions_FourthChoice3,ParallelSessions_FifthChoice3,ParallelSessions_FirstChoice4,ParallelSessions_SecondChoice4,ParallelSessions_ThirdChoice4,ParallelSessions_FourthChoice4,ParallelSessions_FifthChoice4,ParallelSessions_FirstChoice5,ParallelSessions_SecondChoice5,ParallelSessions_ThirdChoice5,ParallelSessions_FourthChoice5,ParallelSessions_FifthChoice5,Entry_DateCreated,Entry_DateSubmitted,Entry_DateUpdated
169,"Tuesday 1st October, Wednesday 2nd October",Session 1.4,Session 1.1,Session 1.3,Session 1.5,No preference,Session 2.5,Session 2.4,No preference,No preference,No preference,Session 3.2,Session 3.4,Session 3.3,No preference,No preference,Session 4.3,Session 4.4,Session 4.5,No preference,No preference,Session 5.1,Session 5.2,Session 5.5,Session 5.3,Session 5.4,31/07/2019 09:01,31/07/2019 09:01,31/07/2019 09:01
170,"Tuesday 1st October, Wednesday 2nd October",Session 1.4,Session 1.2,Session 1.5,Session 1.1,Session 1.3,Session 2.1,Session 2.5,Session 2.3,Session 2.2,Session 2.4,Session 3.1,Session 3.3,Session 3.5,Session 3.4,Session 3.2,Session 4.2,Session 4.5,Session 4.3,Session 4.4,Session 4.1,Session 5.2,Session 5.4,Session 5.3,Session 5.5,Session 5.1,31/07/2019 09:01,31/07/2019 09:01,31/07/2019 09:01
171,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.4,Session 1.5,Session 1.1,Session 1.2,Session 2.2,Session 2.3,Session 2.5,Session 2.1,Session 2.4,Session 3.3,Session 3.1,Session 3.5,Session 3.4,Session 3.2,Session 4.3,Session 4.2,Session 4.4,Session 4.1,Session 4.5,Session 5.3,Session 5.4,Session 5.1,Session 5.5,Session 5.2,31/07/2019 08:52,31/07/2019 08:52,31/07/2019 08:52
172,"Tuesday 1st October, Wednesday 2nd October",Session 1.4,Session 1.2,Session 1.5,Session 1.3,Session 1.1,Session 2.2,Session 2.3,Session 2.5,Session 2.4,Session 2.1,Session 3.4,Session 3.3,Session 3.1,Session 3.5,Session 3.2,Session 4.4,Session 4.3,Session 4.5,Session 4.1,Session 4.2,Session 5.1,Session 5.3,Session 5.2,Session 5.4,Session 5.5,31/07/2019 08:48,31/07/2019 08:48,31/07/2019 08:48
173,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.1,Session 1.3,Session 1.4,Session 1.5,Session 2.1,Session 2.4,Session 2.5,Session 2.2,Session 2.3,Session 3.2,Session 3.5,Session 3.1,Session 3.4,Session 3.5,Session 4.3,Session 4.1,Session 4.2,Session 4.4,Session 4.5,Session 5.3,Session 5.1,Session 5.2,Session 5.4,Session 5.5,31/07/2019 08:47,31/07/2019 08:47,31/07/2019 08:47
174,"Tuesday 1st October, Wednesday 2nd October",Session 1.2,Session 1.5,Session 1.3,Session 1.1,Session 1.4,Session 2.3,Session 2.1,Session 2.5,Session 2.2,Session 2.4,Session 3.3,No preference,No preference,No preference,No preference,Session 4.3,Session 4.4,No preference,No preference,No preference,Session 5.4,Session 5.5,No preference,No preference,No preference,31/07/2019 08:44,31/07/2019 08:44,31/07/2019 08:44
175,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.5,Session 1.1,Session 1.1,Session 1.1,Session 2.3,Session 2.2,Session 2.1,Session 2.1,Session 2.1,Session 3.4,Session 3.3,Session 3.2,Session 3.1,Session 3.1,Session 4.4,Session 4.2,Session 4.3,Session 4.1,Session 4.1,Session 5.2,Session 5.5,Session 5.1,Session 5.3,Session 5.1,31/07/2019 08:35,31/07/2019 08:35,31/07/2019 08:35
176,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.1,Session 1.4,Session 1.5,Session 1.4,Session 2.2,Session 2.4,Session 2.5,Session 2.3,Session 2.1,Session 3.4,Session 3.2,Session 3.5,Session 3.3,Session 3.1,Session 4.5,Session 4.1,Session 4.3,Session 4.4,Session 4.2,Session 5.3,Session 5.2,Session 5.1,Session 5.4,Session 5.5,31/07/2019 08:32,31/07/2019 08:32,31/07/2019 08:32
177,"Tuesday 1st October, Wednesday 2nd October",Session 1.2,Session 1.3,Session 1.1,Session 1.4,Session 1.5,Session 2.4,Session 2.5,Session 2.2,Session 2.1,Session 2.3,Session 3.5,Session 3.3,Session 3.1,Session 3.2,Session 3.4,Session 4.2,Session 4.4,No preference,No preference,No preference,Session 5.4,Session 5.5,No preference,No preference,No preference,31/07/2019 08:29,31/07/2019 08:29,31/07/2019 08:29
178,"Tuesday 1st October, Wednesday 2nd October",Session 1.2,Session 1.3,Session 1.1,Session 1.4,Session 1.5,Session 2.3,Session 2.2,Session 2.1,Session 2.4,Session 2.5,Session 3.1,Session 3.2,Session 3.3,Session 3.5,Session 3.4,Session 4.2,Session 4.3,Session 4.4,Session 4.1,Session 4.5,Session 5.2,Session 5.4,Session 5.3,Session 5.5,Session 5.1,31/07/2019 08:25,31/07/2019 08:25,31/07/2019 08:25
